x,w_analytical,M_analytical
2.622622622622622357e-01,-5.500189972718324237e-03,9.674038402767131117e+01
2.632632632632632697e-01,-5.515885826285947535e-03,9.697785873962051539e+01
2.642642642642642481e-01,-5.531526130764155731e-03,9.721433144856565889e+01
2.652652652652652820e-01,-5.547110750700848768e-03,9.744980215450685535e+01
2.662662662662662605e-01,-5.562639551217868523e-03,9.768427085744403371e+01
2.672672672672672389e-01,-5.578112398011013558e-03,9.791773755737719398e+01
2.682682682682682729e-01,-5.593529157350028702e-03,9.815020225430637879e+01
2.692692692692692513e-01,-5.608889696078606796e-03,9.838166494823151709e+01
2.702702702702702853e-01,-5.624193881614395624e-03,9.861212563915266571e+01
2.712712712712712637e-01,-5.639441581948984906e-03,9.884158432706981046e+01
2.722722722722722422e-01,-5.654632665647921913e-03,9.907004101198293711e+01
2.732732732732732761e-01,-5.669767001850699317e-03,9.929749569389210251e+01
2.742742742742742545e-01,-5.684844460270757800e-03,9.952394837279720718e+01
2.752752752752752885e-01,-5.699864911195492122e-03,9.974939904869835061e+01
2.762762762762762669e-01,-5.714828225486241579e-03,9.997384772159547595e+01
2.772772772772773009e-01,-5.729734274578300417e-03,1.001972943914885690e+02
2.782782782782782793e-01,-5.744582930480908282e-03,1.004197390583777008e+02
2.792792792792792578e-01,-5.759374065777256302e-03,1.006411817222627860e+02
2.802802802802802917e-01,-5.774107553624485342e-03,1.008616223831439100e+02
2.812812812812812702e-01,-5.788783267753684278e-03,1.010810610410210018e+02
2.822822822822823041e-01,-5.803401082469894327e-03,1.012994976958940896e+02
2.832832832832832826e-01,-5.817960872652101247e-03,1.015169323477632020e+02
2.842842842842842610e-01,-5.832462513753244870e-03,1.017333649966282394e+02
2.852852852852852950e-01,-5.846905881800217378e-03,1.019487956424893298e+02
2.862862862862862734e-01,-5.861290853393852883e-03,1.021632242853464021e+02
2.872872872872873073e-01,-5.875617305708939579e-03,1.023766509251994705e+02
2.882882882882882858e-01,-5.889885116494214534e-03,1.025890755620485493e+02
2.892892892892892642e-01,-5.904094164072363690e-03,1.028004981958935815e+02
2.902902902902902982e-01,-5.918244327340024466e-03,1.030109188267346383e+02
2.912912912912912766e-01,-5.932335485767783155e-03,1.032203374545716770e+02
2.922922922922923106e-01,-5.946367519400174925e-03,1.034287540794047260e+02
2.932932932932932890e-01,-5.960340308855682084e-03,1.036361687012337711e+02
2.942942942942942675e-01,-5.974253735326742754e-03,1.038425813200587839e+02
2.952952952952953014e-01,-5.988107680579739592e-03,1.040479919358798355e+02
2.962962962962962798e-01,-6.001902026955005867e-03,1.042524005486968548e+02
2.972972972972973138e-01,-6.015636657366826325e-03,1.044558071585098418e+02
2.982982982982982922e-01,-6.029311455303431981e-03,1.046582117653188675e+02
2.992992992992992707e-01,-6.042926304827007065e-03,1.048596143691238609e+02
3.003003003003003046e-01,-6.056481090573685548e-03,1.050600149699248789e+02
3.013013013013012831e-01,-6.069975697753544203e-03,1.052594135677218787e+02
3.023023023023023170e-01,-6.083410012150619085e-03,1.054578101625148747e+02
3.033033033033032955e-01,-6.096783920122887321e-03,1.056552047543038668e+02
3.043043043043043294e-01,-6.110097308602282715e-03,1.058515973430888266e+02
3.053053053053053079e-01,-6.123350065094681875e-03,1.060469879288698110e+02
3.063063063063062863e-01,-6.136542077679918092e-03,1.062413765116467772e+02
3.073073073073073203e-01,-6.149673235011769191e-03,1.064347630914197396e+02
3.083083083083082987e-01,-6.162743426317962743e-03,1.066271476681887265e+02
3.093093093093093326e-01,-6.175752541400180394e-03,1.068185302419536811e+02
3.103103103103103111e-01,-6.188700470634045728e-03,1.070089108127146034e+02
3.113113113113112895e-01,-6.201587104969139008e-03,1.071982893804715502e+02
3.123123123123123235e-01,-6.214412335928990241e-03,1.073866659452244932e+02
3.133133133133133019e-01,-6.227176055611072236e-03,1.075740405069734464e+02
3.143143143143143359e-01,-6.239878156686811880e-03,1.077604130657183816e+02
3.153153153153153143e-01,-6.252518532401584936e-03,1.079457836214592987e+02
3.163163163163162928e-01,-6.265097076574720376e-03,1.081301521741962262e+02
3.173173173173173267e-01,-6.277613683599489111e-03,1.083135187239291213e+02
3.183183183183183051e-01,-6.290068248443116995e-03,1.084958832706580409e+02
3.193193193193193391e-01,-6.302460666646782228e-03,1.086772458143829567e+02
3.203203203203203175e-01,-6.314790834325604077e-03,1.088576063551038544e+02
3.213213213213212960e-01,-6.327058648168658490e-03,1.090369648928207482e+02
3.223223223223223299e-01,-6.339264005438967689e-03,1.092153214275336381e+02
3.233233233233233084e-01,-6.351406803973504503e-03,1.093926759592425384e+02
3.243243243243243423e-01,-6.363486942183191504e-03,1.095690284879474063e+02
3.253253253253253208e-01,-6.375504319052900139e-03,1.097443790136482846e+02
3.263263263263262992e-01,-6.387458834141452463e-03,1.099187275363451448e+02
3.273273273273273332e-01,-6.399350387581620274e-03,1.100920740560380153e+02
3.283283283283283116e-01,-6.411178880080123377e-03,1.102644185727268962e+02
3.293293293293293456e-01,-6.422944212917633053e-03,1.104357610864117447e+02
3.303303303303303240e-01,-6.434646287948765989e-03,1.106061015970925752e+02
3.313313313313313024e-01,-6.446285007602094684e-03,1.107754401047694301e+02
3.323323323323323364e-01,-6.457860274880138779e-03,1.109437766094422670e+02
3.333333333333333148e-01,-6.469371993359365053e-03,1.111111111111111143e+02
3.343343343343343488e-01,-6.480820067190194364e-03,1.112774436097759434e+02
3.353353353353353272e-01,-6.492204401096990374e-03,1.114427741054367687e+02
3.363363363363363057e-01,-6.503524900378074292e-03,1.116071025980935900e+02
3.373373373373373396e-01,-6.514781470905710997e-03,1.117704290877463933e+02
3.383383383383383181e-01,-6.525974019126116847e-03,1.119327535743952211e+02
3.393393393393393520e-01,-6.537102452059460542e-03,1.120940760580400166e+02
3.403403403403403304e-01,-6.548166677299854452e-03,1.122543965386808225e+02
3.413413413413413644e-01,-6.559166603015367629e-03,1.124137150163176386e+02
3.423423423423423428e-01,-6.570102137948012795e-03,1.125720314909504083e+02
3.433433433433433213e-01,-6.580973191413753282e-03,1.127293459625792167e+02
3.443443443443443552e-01,-6.591779673302505631e-03,1.128856584312039786e+02
3.453453453453453337e-01,-6.602521494078133525e-03,1.130409688968247508e+02
3.463463463463463676e-01,-6.613198564778450389e-03,1.131952773594415333e+02
